id,image_path,countries,name,year,size,location,country,services,sectors,products,applications,completion,description
11,projects/braemar-drive,"SG,MY",Braemar Drive,2023,,Braemar Drive,Singapore ,Interior ,Residential,Kandinsky,"Stairs, Flooring",Completed,"Bold in colour and contrast. Timber gels in perfectly with concrete designed surroundings. Talking about modern rustic, this is one of the good examples. Dark colour timber gives the place a bold & masculine outlook."
12,projects/burmese-teak-handrail,"SG,MY",Burmese teak handrail,2011,,Wilkinson road,Singapore ,Interior ,Residential,Wood and Timber,Stairs,Completed,A winding Burmese teak handrail was installed in a residence on Wilkinson Road.
13,projects/singtel-shop-comcentre,"SG,MY",Singtel Shop Comcentre,2011,,313@somerset,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,The Zerno-colored classic wood flooring at the Singtel Shop Comcentre project provides a timeless and sophisticated look that fits perfectly with the sleek and modern design of the commercial space. The durability of the wood ensures that it can withstand heavy foot traffic while maintaining its natural beauty over time.
14,projects/singapore-japanese-school,"SG,MY",Singapore Japanese School,2019,,SJS,Singapore ,Interior ,Commercial,Wood and Timber,Stairs,Completed,"The natural oil on American Walnut stairs at the Singapore Japanese School's lecture hall provide a timeless and classic look that is perfect for creating a welcoming and comfortable learning environment. The durability of the wood ensures that it can withstand heavy foot traffic, while its natural beauty adds a touch of warmth and sophistication to the commercial space."
15,projects/babilou,"SG,MY",Babilou,2023,,Jurong Gateway,Singapore ,"Interior, Exterior",Commercial,"Accoya, Calvary Composite","Structural build, Decking",Completed,"Designed by Inully, Inhabit Carefully, and CIAP, the Kiddiwinkie Bailou Childcare in Jurong Gateway features a playground birdcage structure crafted from sustainable, high-quality wood, Accoya, along with decking made of removable Calvary composite."
16,projects/apple-headquarter,"SG,MY",Apple Headquarter,2023,,Apple HQ,Singapore ,Exterior ,Commercial,Calvary Composite,Decking,Completed,Apple SouthAsia HQ features a beautiful outdoor balcony area with composite decking in the serene color of Havana. The decking provides a comfortable and elegant space to relax and unwind.
17,projects/singapore-management-university,"SG,MY",Singapore Management University,2021,,Singapore Management University,Singapore ,"Interior, Exterior",Governmental,Accoya,"Cladding, Panel",Completed,"The external cladding of Singapore Management University is clad in Accoya to minimize heat gain and ensure long-lasting, rot-free durability."
18,projects/rise-restaurant,"SG,MY",RISE restaurant ,2016,,Marina Bay Sands,Singapore ,Interior ,Commercial,Wood and Timber,Structural build,Completed,"A showcase of the Rise Restaurant project at Marina Bay Sands in collaboration with Aedas Architects and Arup Architecture. Calvary Carpentry created the elegant curves and stunning bowl facade of the restaurant, which is cladded with fumed Eucalyptus veneer and Oak veneer, respectively. We are thrilled to have contributed to the creation of such an iconic space and to have worked alongside talented architects and designers. This post is dedicated to all architects who appreciate the timeless beauty of exceptional carpentry work."
19,projects/national-youth-sports-institute,"SG,MY",National Youth Sports Institute,2021,,NYSI,Singapore ,"Interior, Exterior",Commercial,Calvary Composite,Decking,Completed,"The National Youth Sports Institute boasts a world-class sports facility with a stunning composite decking in the inviting colour of Rum. The Rum colour adds a touch of warmth and sophistication to the boardwalk, creating an inviting atmosphere for athletes and visitors alike. "
20,projects/jypsy-cafe,"SG,MY",JYPSY Cafe,2022,,One Fullerton,Singapore ,"Interior, Exterior",Commercial,Accoya,Decking,Completed,"JPSY cafe is fully adorned with Accoya timber, finished with Osmo external oil. Both Accoya and Osmo are certified with 3 and 2 ticks respectively by the SGBC Council"
21,projects/cloudbreak,"SG,MY",Cloudbreak ,2023,,Cloudbreak,Singapore ,Maintance,Commercial,Sand & Vanish,Decking,Completed,"Our team worked on timber revitalization for the deck of the stunning explorer yacht Cloud Break. Utilizing various techniques such as sanding and refinishing, we restored the timber to its former glory and enhanced its durability."
22,projects/sota,"SG,MY",SOTA,2021,,SOTA,Singapore ,Maintance,Commercial,OSMO,"Flooring, Wall and Stairs",Completed,"We have had the opportunity to work on the beautiful concert hall of SOTA, revitalizing it and applying OSMO coating."
23,projects/st-regis-hotel,"SG,MY",St Regis Hotel,2023,,St Regis,Singapore ,Maintance,Commercial,Sand & Vanish,"Stairs, Flooring",Completed,"After 5 years, we have the opportunity to sand and varnish our Jurupa Kandinsky flooring, refreshing it and restoring it to its original splendor."
24,projects/artyzen-hotel,"SG,MY",Artyzen Hotel,2023,,9 Cuscaden Road,Singapore ,"Interior, Exterior",Commercial,"Accoya, Kandinsky","Flooring, Panel, Decking, Cladding, Soffit",Completed,"At Artyzen Hotel, Accoya timber coated with 708 is used for the decking surrounding the rooftop infinity pool and the terrace suite's private outdoor garden. Additionally, the balcony spaces of the rooms feature Accoya soffit and cladding.
The interior rooms are adorned with our ZERNO Kandinsky flooring in a chevron pattern. The signature restaurant, Quenino, is embellished with our KILDARE Kandinsky flooring, also in a chevron pattern."
25,projects/hilton-singapore-orchard,"SG,MY",Hilton Singapore Orchard,,,Hilton Singapore Orchard,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,Botanical-inspired interiors and modern amenities. Hilton Orchard provides sustainable and innovative rooms feature eco-friendly motion sensor-controlled lighting and air-conditioning. 
26,projects/st-regis-hotel-2,"SG,MY",St Regis Hotel 2,2018,,St Regis Hotel,Singapore ,Interior ,Commercial,Kandinsky,"Stairs, Flooring",Completed,To supply & install Jurupa Engineered Pattern Floors.
27,projects/uniqlo,"SG,MY",UNIQLO,2020,,Level 2 @ Orchard Central ,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"UNIQLO at Level 2 of Orchard Central features a stunning and sustainable engineered flooring in the rich, warm hue of Pugachov. The flooring covers the entire floor of the store, providing a cozy and inviting atmosphere for shoppers. Made with high-quality sustainable materials, this flooring reflects UNIQLO's commitment to sustainability and natural beauty. "
28,projects/changi-airport-t3,"SG,MY",Changi Airport T3,2018,,Changi Airport T3 B1 and L1,Singapore ,Interior ,Commercial,Kandinsky,"Stairs, Flooring",Completed,"Supply and installation of 252m2 of Engineered Oak (Osmo 3062) for Steps seating, staircase risers and staircase treads"
29,projects/jalan-terubok,"SG,MY",Jalan Terubok,2022,,Jalan Terubok,Singapore ,Interior ,Residential,Kandinsky,"Flooring, Ceiling",Completed,"Bold in colour and contrast. Timber gels in perfectly with concrete designed surroundings. Talking about modern rustic, this is one of the good examples. Dark colour timber gives the place a bold & masculine outlook."
30,projects/the-working-capitol,"SG,MY",The Working Capitol,2017,,Robinson,Singapore ,Interior ,Commercial,Kandinsky,"Flooring, Wall and Stairs",Completed,Not only floors but walls as well. Capturing attention with one look from afar. Its's hard to not miss this!
31,projects/ion-orchard,"SG,MY",Ion Orchard,2019,,L5 Art Gallery,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"A home to arts and paintings. The light coloured timber floors compliments the hang ups on the walls. One look from afar, it is inviting with subtleness and tranquility."
32,projects/bp-singapore,"SG,MY",BP Singapore,2017,,BP Office,Singapore ,Interior ,Commercial,Kandinsky,"Stairs, Flooring",Completed,"BP's office stairs is not to be missed! With the side lights illuminiating your path, the timber stairs is mesmerizing as u climb step by step with the different characters of timber grains greeting you."
33,projects/dnb,"SG,MY",DNB,2017,,DNB Office,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"DnB chooses a neutral. A rare sight of Larch timber display. Uncomonly used in tropical countries, DNB knows the true appreciation of timber characteristics. The floors are truely a beauty to behold, normalizing knots."
34,projects/gsk-global-hq-asia,"SG,MY",GSK Global HQ (Asia),2017,,GSK HQ,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"Installation of Oak Engineering Floors at GSK Global HQ (Asia). Home of the medicinal productions and research. What more to fit the theme of calm, tranquil and affirmation for one's health would be none other than engineered oak with the background of healthy timber flooring."
35,projects/ubs-penang-road,"SG,MY",UBS Penang Road,2020,,Penang Road,Singapore ,Interior ,Commercial,Kandinsky,"Stairs, Ceiling",Completed,"The UBS Penang Road project features a stunning wooden platform and flooring in Zerno color, creating a warm and inviting atmosphere. The classic wood design adds a touch of sophistication and elegance to the commercial space, making it a perfect choice for any business setting."
36,projects/pub-waterhub,"SG,MY",PUB Waterhub,2018,,Waterhub,Singapore ,Interior ,Commercial,Kandinsky,Wall,Completed,"The light wooden walls at the PUB Waterhub project provide a clean and polished look that is fitting for a national water agency that manages Singapore's water supply. The bright and minimalistic design of the wood complements the overall goal of integrated water management, making the space feel open and inviting while also emphasizing the importance of cleanliness and sustainability.It's all about water and people."
37,projects/shiseido,"SG,MY",Shiseido,2018,,Shiseido,Singapore ,Interior ,Commercial,Kandinsky,"Flooring, Ceiling, Stairs",Completed,"Out of the ordinary laying methods, Shiseido choose weave basket patterns. Carefully designed by the architect, this spaces shows true consistency, bringing out the tinge of vintage to the modern world application."
38,projects/hom-yoga,"SG,MY",Hom Yoga,2018,,181 Orchard Rd,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"An inviting space to invigoration. The white stained timber oil speaks for itself. Calm, tranquil, strong minimalist that takes you away from bustling stress. Namaste!"
39,projects/cartier,"SG,MY",Cartier,2018,,Marina Bay Sands,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"The warm reddish coated wood flooring and spiral staircase at the Cartier project provide a dramatic and unforgettable entrance to the luxurious commercial space. The rich and vibrant color of the wood adds depth and character to the overall design, making it a stunning feature of the upscale Marina Bay Sands shopping mall."
40,projects/apm-monaco,"SG,MY",APM Monaco,2018,,Jewel,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"The Zerno-colored classic wood herringbone flooring at the APM Monaco project provides a luxurious and sophisticated backdrop for the high-end jewelry and accessories on display. The durability of the wood ensures that it can withstand heavy foot traffic, while its natural beauty adds a touch of warmth and elegance to the commercial space."
41,projects/chanel,"SG,MY",Chanel,2017,,KLCC,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"The black oil Kildare flooring at the Channel project provides a luxurious and refined look that is perfect for a high-end fashion retailer. The durability of the wood ensures that it can withstand heavy foot traffic, while its natural beauty adds a touch of elegance and sophistication to the commercial space."
42,projects/bell-and-ross,"SG,MY",Bell & Ross,2018,,Bell & Ross,Singapore ,Interior ,Commercial,Kandinsky,Flooring,Completed,"The Bell & Ross project boasts striking black oil Kildare flooring, creating a dramatic and contemporary atmosphere that complements the brand's innovative and stylish image. The dark color of the wood adds a touch of sophistication to the commercial space, making it a perfect setting for displaying the brand's high-end luxury watches."
43,projects/kew-drive,"SG,MY",Kew Drive,2021,,Kew Drive,Singapore ,Interior ,Commercial,Accoya,"Screens, Soffit, Cladding",Completed,"Accoya timber was elegantly utilized to clad the exterior roof, complemented by sliding screens for the balcony. The Accoya ceiling seamlessly extends from the exterior to the interior, creating a beautifully spacious interior ambiance."
44,projects/reflections-at-keppel-bay,"SG,MY",Reflections at Keppel Bay,2023,,Keppel Bay,Singapore ,Interior ,Commercial,Accoya,"Decking, Cladding",Completed,"Accoya timber was treated with OSMO 429 for the rooftop balcony at Keppel Bay. Accoya cladding seamlessly extends onto the decking, with greenery and foliage adding a natural touch."
45,projects/bi-fold-window,"SG,MY",Bi-fold window,2022,,Private residence in Singapore ,Singapore,Interior ,Residential,Accoya,"Cladding, Bi-Fold Window",Completed,Accoya coated with OSMO 706 cladded residential with bi-fold window screen.
46,projects/swiss-club,"SG,MY",Swiss Club,2022,,Private residence in Singapore ,Singapore,Exterior ,Residential,Accoya,"Screens, Soffit, Cladding",Completed,Accoya coated with OSMO Glazed cladded residential with sliding screen and cladding
47,projects/apple-inc,"SG,MY",Apple Inc,2012,,Apple Inc Office Singapore,Singapore,Exterior ,Commercial,Accoya,Decking,Completed,
48,projects/jalan-seruling,"SG,MY",Jalan Seruling,2021,,Jalan Seruling,Singapore,"Interior, Exterior",Residential,Accoya,Decking,Completed,Outdoor balcony and roof top decking. 
49,projects/waterbay-condominium,"SG,MY",Waterbay Condominium,2022,,Waterbay,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,"Waterbay Condominium boasts a stunning composite decking in the warm and inviting color of Rum. The removal of 1200m2 of hardwood decking was expertly executed and replaced with Calvary Composite, creating a luxurious and sustainable outdoor living space. The Rum colour adds a touch of warmth and sophistication to the space, making it an ideal place to relax and enjoy the stunning pool views."
50,projects/mount-sinai,"SG,MY",Mount Sinai,2020,,Mount Sinai,Singapore,Interior ,Residential,Calvary Composite,Decking,Completed,"Fixed timber screens line the bridge into the house. Its scale and rhythm speak of solidity yet porosity. It offers a peek into the space beyond the threshold yet keeps unwelcome gazes out. Crossing over, a solitary tree rises upwards from below, indicating habitable space beneath. One senses that the exterior belies the interior."
51,projects/lakehomes,"SG,MY",Lakehomes,2020,,Lakehomes Condominium,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,Lakehomes Condominium is a luxurious waterfront community that features a stunning composite decking built next to the swimming pool. The composite decking in the bold and eye-catching color of Lava adds a touch of drama and elegance to the outdoor space.
52,projects/gambir-ridge,"SG,MY",Gambir Ridge,2020,,Gambir Ridge Condominium,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,"Gambir Ridge Condominium offers a luxurious and stylish outdoor living space with its stunning composite decking in the serene and calming color of Mist. The composite decking is built next to the swimming pool in a roof terrace, providing a relaxing and private oasis for residents to escape the hustle and bustle of city life.

The Mist color adds a touch of tranquility and sophistication to the space, creating a soothing and serene environment for relaxation and enjoyment. "
53,projects/burnt-foot,"SG,MY",Burnt foot,2022,,Burnt foot Road,Singapore,Exterior ,Residential,Calvary Composite,Decking,Completed,"The captivating dark tones of Nero decking exude an air of sophistication and modernity, elevating the balcony's aesthetic appeal. With its sleek and stylish appearance, the decking provides a durable and low-maintenance platform for relaxation and leisure. Whether hosting gatherings or seeking solace, guests can indulge in a luxurious experience on the balcony, surrounded by the contemporary beauty of Calvary Composite Nero decking."
54,projects/lyf-one-north,"SG,MY",LYF@one-north,2022,,One-north Singapore ,Singapore,Exterior ,Commercial,Accoya,,Completed,
55,projects/lyf-funan,"SG,MY",Lyf@funan,2019,,Funan,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,"LYF Funan Singapore is located in Funan Mall, the design alludes to the industrial style but with a more playful slant to suit the target customers’ characters. This idea is combined with a touch of locality, consisting of a collage of materials of various texture, patterns, and colours; and furniture made by local designers and artists."
56,projects/skirt-restaurant,"SG,MY",SKIRT Restaurant,2020,,W Hotel,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,"At the W Hotel, SKIRT Restaurant, guests can enjoy a luxurious outdoor dining experience on a stunning composite decking in the warm and inviting color of Rum. The Rum color adds a touch of warmth and sophistication to the outdoor dining area, creating a beautiful and inviting atmosphere for guests to enjoy their meal in style. "
57,projects/maple-business-park,"SG,MY",Maple Business Park,2018,,Maple Business Park,Singapore ,Exterior ,Commercial,Calvary Composite,Decking,Completed,"Nestled next to a serene pond and surrounded by beautiful trees and nature, the composite decking provides the perfect spot to relax and take in the beauty of the surroundings. The Havana Gold colour adds a touch of warmth and elegance to the space, creating a beautiful and inviting atmosphere for visitors and tenants alike."
58,projects/76-shenton,"SG,MY",76 Shenton,2021,,76 Shenton,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,"At 76 Shenton, residents and visitors are greeted with a stunning composite decking in the warm and inviting color of Rum. The decking is located next to water features in a swimming pool, leading towards the entrance, creating a truly breathtaking first impression. Rum color adds a touch of sophistication and warmth to the space, creating a beautiful and inviting atmosphere for residents and visitors to enjoy."
59,projects/outram-community-hospital,"SG,MY",Outram Community Hospital,2019,,Outram Community Hospital,Singapore,Exterior ,Commercial,"Wood and Timber, Calvary Composite","Trellis, Benches",Completed,"Outram Community Hospital's outdoor space features comfortable composite benches and trellis in the warm and inviting color of Havana. With their comfortable seating and timeless design, the Havana composite benches at Outram Community Hospital are a welcome addition to the hospital's facilities, providing patients and visitors with a beautiful and comfortable space to rest and relax."
60,projects/holiday-inn-express-katong,"SG,MY",Holiday Inn Express Katong,2020,,Holiday Inn Express Katong,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,"At Holiday Inn Express Katong, guests can unwind and relax in the hotel's outdoor resting area, complete with composite decking in the warm and inviting pattern of Havana and Rum. The unique pattern adds a touch of visual interest to the space, while the rich, earthy tones of the Havana and Rum colors create a cozy and inviting atmosphere. Whether taking a break from a busy day of sightseeing or enjoying a morning cup of coffee, the outdoor resting area with its beautiful composite decking is the perfect spot to recharge and enjoy the fresh air."
61,projects/khoo-teck-puat-hospital,"SG,MY",Khoo Teck Puat Hospital,2018,,Yishun Central,Singapore,Exterior ,Commercial,Calvary Composite,Decking,Completed,"Khoo Teck Puat Hospital is a modern medical facility that offers high-quality care to its patients. The hospital's outdoor waiting areas feature comfortable composite benches in the warm and inviting colour of rum, providing patients and visitors with a relaxing place to rest as they wait."
62,projects/the-trumps,"SG,MY",The Trumps,2021,,The Trumps Condominium,Singapore ,Exterior ,Commercial,Calvary Composite,Decking,Completed,"Located in the pool deck of Tumps Condominium, Calvary Composite Rum exudes warmth and elegance, perfectly complementing the surrounding environment while creating a welcoming space for residents and visitors alike."
63,projects/onalu-cafe,"SG,MY",Onalu Cafe,2021,,Singapore Management University,Singapore ,Exterior ,Commercial,Calvary Composite,Decking,Completed,Onalu Cafe@Singapore Management University features a beautiful outdoor eating area with composite decking in the serene color of mist. The decking provides a comfortable and elegant space for diners to enjoy their meals surrounded by of the campus.
64,projects/chempaka,"SG,MY",Chempaka,2019,,Chempaka Ave,Singapore ,Interior ,Residential,Calvary Composite,Decking,Completed,"This beautiful bungalow was designed with a contemporary interpretation of a courtyard house, and we're proud to have our Calvary Composite Decking as part of it. Our decking not only enhances the natural day-lighting and cross ventilation, but also provides the perfect platform to enjoy the stunning views from the multi-level sky terraces."
65,projects/apple-hq,"SG,MY",Apple HQ,2023,,12 Ang Mo Kio,Singapore ,Exterior ,Commercial,Calvary Composite,Decking,Completed,Apple SouthAsia HQ features a beautiful outdoor balcony area with composite decking in the serene color of Havana. The decking provides a comfortable and elegant space to relax and unwind.
66,projects/civil-service-club,"SG,MY",Civil Service Club ,2023,,Changi,Singapore ,Exterior ,Commercial,Calvary Composite,Decking,Completed,"In front of the scenic sea, our Havana decking complements the picturesque backdrop, creating an atmosphere of coastal charm. With its enduring durability and low-maintenance nature, the Havana decking ensures a long-lasting and enjoyable experience for all who visit the club, making it an idyllic destination for leisure and leisurely activities by the sea."
67,projects/n-parks-montreal-green-park,"SG,MY",N-Parks Montreal Green Park,2022,,Montreal Green Park,Singapore ,Exterior ,Commercial,Calvary Composite,Decking,Completed,"N-Parks Montreal's Green Park beckons visitors with its tranquil charm and natural allure. The rum-coloured decking, seamlessly integrated throughout the park, enhances the overall ambiance, inviting individuals to immerse themselves in the serene surroundings. With its warm and elegant tones, the decking provides an inviting space for visitors to unwind, relax, and connect with the park's abundant natural beauty."
68,projects/national-art-gallery,"SG,MY",National Art Gallery,2018,,National Art Gallery,Singapore ,Exterior ,Governmental,Wood and Timber,"Decking, Bench",Completed,"From the first-level balcony of the National Art Gallery Singapore to the rooftop Tong Garden, Calvary Composite removable decking was installed, boasting a beautiful HAVANA wood color that complements the stunning view of Marina Bay Sands."""
69,projects/kampung-admiralty,"SG,MY",Kampung Admiralty,2017,,Kampung Admiralty,Singapore ,Exterior ,Governmental,Calvary Composite,Decking,Completed,"Kampung Admiralty is Singapore’s first integrated public development that brings together a mix of public facilities and services under one roof. The traditional approach is for each government agency to carve out their own plot of land, resulting in several standalone buildings. This one-stop integrated complex, on the other hand, maximises land use, and is a prototype for meeting the needs of Singapore’s ageing population."
